bank_name,address,place_id,rating,user_ratings_total
BMCI GARE ROUTIÈRE,"gare routière, Meknes",ChIJd1AvIdlaoA0R4TSjXlEU07U,3.3,4
Société Générale Meknes Plaisance,"Ismailia II, 14 Av. des F.A.R, Meknès 50000",ChIJO8I-gdhEoA0Rgpy6GXUPP1c,1.0,1
Crédit agricole,"WG66+G38, Meknes",ChIJvdOm4TpEoA0RKa00123HZlc,2.5,2
Banque populaire,"VCWW+G4H, Meknes",ChIJnYxmRtZEoA0RoqBLzKz5A6I,1.0,2
CIH BANK,"Bd Allal Ben Abdallah, Meknès 50000",ChIJP0GpWZRFoA0R5_aV3T48MxU,3.0,2
CIH BANK,"ابن خلدون، Avenue des Forces Armees Royales Prog, Meknes 50000",ChIJtf6IH-NEoA0RXvHT6nJRFEY,1.9,15
Al Amana Microfinance,"VFX9+4GM al amana, Meknes",ChIJFT9a2-JEoA0RG71i9wJtrTQ,3.4,5
Attijariwafa bank zerhounia,"VCXC+MHF, Boulevard Yamouri Driss Ben Larbi،, Meknès",ChIJ1SXhsSlboA0R75LsCSfXDYs,1.8,9
Grande poste meknes,"WF27+CQ8, Meknes",ChIJRyIDNABFoA0R385BqfPF9-4,5.0,1
cashplus toulalfr,"VCP3+3FX, Unnamed Road, Meknès",ChIJedh_VI5boA0RPMXb8JA_TWQ,3.0,5
Credit Agricole Du Maroc,"QG57+JV9, N13, Boufakrane",ChIJg-iMgwNMoA0RV9f35XPgs5Q,4.5,2
البنك الشعبي,"VCV8+CVR, Meknes 50040",ChIJxSM3_x9boA0RV-Hdjshoebc,3.1,23
Crédit Du Maroc,"WQQQ+2CJ, Ain Taoujdate",ChIJCai2_bskoA0RcxlEdJ-2A_o,5.0,4
